ID_Caillou;Surface (mm2);Diametre_Equivalent (mm);Longueur_Max (mm);Largeur_Max (mm)
240;14.09;4.24;4.66;4.02
241;11.07;3.75;4.82;2.96
242;9.45;3.47;5.97;2.11
243;20.96;5.17;7.31;3.92
244;15.4;4.43;7.16;3.28
245;10.19;3.6;4.81;2.84
246;6.3;2.83;4.15;2.04
247;10.28;3.62;5.26;2.69
248;6.03;2.77;4.13;1.96
249;7.34;3.06;3.16;3.09
250;9.66;3.51;4.72;2.67
251;42.15;7.33;9.62;5.96
252;7.09;3.0;4.79;2.3
253;8.15;3.22;3.91;2.77
254;9.36;3.45;4.35;2.89
255;4.62;2.43;2.97;2.1
256;5.92;2.75;3.27;2.39
257;15.13;4.39;5.23;3.77
258;14.73;4.33;8.49;2.79
259;8.39;3.27;5.82;2.07
260;32.83;6.47;8.42;5.13
261;3.24;2.03;2.39;1.81
262;19.13;4.94;7.67;3.54
263;56.3;8.47;10.16;7.5
264;72.68;9.62;24.86;11.09
265;21.99;5.29;6.99;4.28
266;6.09;2.78;4.11;2.15
267;26.95;5.86;7.78;5.08
268;9.54;3.48;4.11;3.13
269;11.81;3.88;4.04;3.87
270;4.64;2.43;10.73;0.65
271;4.93;2.5;2.89;2.27
272;1914.42;49.37;85.15;30.04
273;946.39;34.71;85.52;14.81
274;231.2;17.16;21.24;14.46
275;6150.93;88.5;116.5;70.98
276;428.3;23.35;82.16;7.21
277;18.71;4.88;5.52;4.54
278;4.29;2.34;2.45;2.29
279;410.67;22.87;39.46;13.85
280;28.8;6.06;8.5;4.37
281;404.19;22.69;38.71;13.87
282;34.26;6.6;10.66;4.35
283;31.36;6.32;7.74;5.76
284;55.17;8.38;14.24;6.76
285;3.47;2.1;4.14;1.12
286;64.43;9.06;11.28;7.89
287;12.08;3.92;5.0;3.16
288;322.39;20.26;67.34;14.87
289;17.45;4.71;4.97;4.68
290;192.71;15.66;94.4;10.82
291;40.57;7.19;9.42;5.7
292;30.78;6.26;8.3;5.01
293;30.09;6.19;7.47;5.29
294;61.99;8.88;15.57;5.81
295;28.65;6.04;8.37;4.69
