epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,610.39,0.56638,0.39315,1.20089,0.00688,0.93512,0.96591,0.98111,0.88169,0.49163,0.38956,1.20953,0.00698,0.0005744,0.0005744,0.0005744
38,623.862,0.52142,0.38058,1.20494,0.00719,0.93729,0.96525,0.98131,0.88604,0.47873,0.38052,1.2088,0.00719,0.0005348,0.0005348,0.0005348
39,636.427,0.51417,0.37299,1.21366,0.0066,0.93184,0.96691,0.98115,0.88387,0.47337,0.37822,1.2208,0.00749,0.0004952,0.0004952,0.0004952
40,649.973,0.5136,0.3686,1.20364,0.00718,0.93241,0.96639,0.9814,0.88754,0.47164,0.37523,1.21511,0.00753,0.0004556,0.0004556,0.0004556
41,661.741,0.50475,0.38622,1.19945,0.00981,0.93416,0.96718,0.98136,0.88078,0.49437,0.38082,1.20786,0.00733,0.000416,0.000416,0.000416
42,672.811,0.47731,0.3716,1.18502,0.00742,0.93322,0.96732,0.98047,0.88245,0.48446,0.38376,1.20553,0.00702,0.0003764,0.0003764,0.0003764
43,685.174,0.48068,0.37023,1.18384,0.00718,0.93259,0.96535,0.98034,0.88226,0.47948,0.38069,1.21861,0.00672,0.0003368,0.0003368,0.0003368
44,720.671,0.49796,0.39121,1.1881,0.00694,0.93332,0.96332,0.98028,0.88461,0.47733,0.38076,1.21047,0.00702,0.0002972,0.0002972,0.0002972
45,753.552,0.4669,0.35902,1.18585,0.00673,0.92414,0.9636,0.97962,0.88148,0.48443,0.38519,1.21615,0.00689,0.0002576,0.0002576,0.0002576
46,769.415,0.47052,0.36375,1.18069,0.00692,0.92926,0.96167,0.98014,0.88314,0.47974,0.3808,1.21106,0.00672,0.000218,0.000218,0.000218
47,779.902,0.49597,0.36769,1.17086,0.007,0.93145,0.9647,0.98088,0.88717,0.47159,0.37609,1.20673,0.00686,0.0001784,0.0001784,0.0001784
48,789.354,0.47303,0.36524,1.19129,0.00746,0.92821,0.96635,0.98082,0.886,0.46994,0.37334,1.21274,0.00698,0.0001388,0.0001388,0.0001388
49,798.77,0.4626,0.35375,1.18673,0.00734,0.93649,0.96415,0.98108,0.88658,0.46987,0.3719,1.20688,0.00693,9.92e-05,9.92e-05,9.92e-05
50,808.999,0.46428,0.35776,1.17523,0.00669,0.93698,0.9647,0.98128,0.88594,0.46989,0.37276,1.20237,0.00688,5.96e-05,5.96e-05,5.96e-05
